option,value,n,percent
wildignore,".git,.hg,.svn,*.pyc,*.o,*.out,*.jpg,*.jpeg,*.png,*.gif,*.zip,**/tmp/**,*.DS_Store,**/node_modules/**,**/bower_modules/**",1,0%
wildignore,".git,**/node_modules/*,**/bower_components/*,**/vendor/*,dist",1,0%
wildignore,".git,*/node_modules/*,*/target/*,.metals,.bloop,.ammonite",1,0%
wildignore,".lock,.sass-cache,.git,.hg,.svn,*.pyc,*.o,*.out,**/tmp/**,.DS_Store,**/node_modules/**,**/bower_modules/**",1,0%
wildignore,".sass-cache,.DS_Store,.git$,~$,.swp$,gin-bin,*/node_modules/*",1,0%
wildignore,".svelte-kit/*,.vim/*,node_modules/*,.git/*,yarn.lock,package-lock.json",1,0%
wildignore,"*.a,*.o,*.bmp,*.gif,*.ico,*.jpg,*.png,.DS_Store,.git,.hg,.svn,*~,*.swp,*.tmp",1,0%
wildignore,"*.a,*.o,*.pyc,*.class,*.so,*.bmp,*.gif,*.ico,*.jpg,*.png,.DS_Store,.git,.hg,.svn,*~,*.swp,*.tmp",1,0%
wildignore,"*.aux,*.out,*.toc,*.o,*.obj,*.exe,*.dll,*.jar,*.pyc,*.rbc,*.class,*.ai,*.bmp,*.gif,*.ico,*.jpg,*.jpeg,*.png,*.psd,*.webp,*.avi,*.m4a,*.mp3,*.oga,*.ogg,*.wav,*.webm,*.eot,*.otf,*.ttf,*.woff,*.doc,*.pdf,*.zip,*.tar.gz,*.tar.bz2,*.rar,*.tar.xz,*/vendor/gems/*,*/vendor/cache/*,*/.bundle/*,*.gem,.sass-cache,npm-debug.log,*.marko.js,*.min.*,*.*~,*~,*.swp,.lock,.DS_Store,._*,tags.lockset,*.mo,*.pyc,*__pycache__*,*.egg-info*,*.egg",1,0%
wildignore,"*.bak,*.e,*~,.hg,.git,.svn,*.aux,*.out,*.toc,*.jpg,*.bmp,*.gif,*.png,*.jpeg,*.o,*.obj,*.exe,*.dll,*.manifest,*.spl,*.sw?,*.DS_Store,*.luac,migrations,*.pyc,*.orig",1,0%
wildignore,"*.docx,*.pdf,*.exe,*.mcmeta,*.xlsx",1,0%
wildignore,*.DS_Store,1,0%
wildignore,"*.gif,*.jpg,*.png,*.o,*.obj,.git,.svn,tmp",1,0%
wildignore,*.git,1,0%
wildignore,"*.git/*,*.tags,tags,*.o,*.class",1,0%
wildignore,*.o,1,0%
wildignore,"*.o,*.jpg,*.png,*.zip,*/tmp/*",1,0%
wildignore,"*.o,*.obj,.git,*.pyc,*.pyo,*.class,.hg,.hg,.git,.svn,*.aux,*.out,*.toc,*.jpg,*.bmp,*.gif,*.png,*.jpeg,*.o,*.obj,*.exe,*.dll,*.manifest,*.spl,*.sw?,*.DS_Store,*.luac,migrations,*.orig",1,0%
wildignore,"*.o,*.obj,*~,*.git*,*.meteor*,*vim/backups*,*sass-cache*,*mypy_cache*,*__pycache__*,*cache*,*logs*,*node_modules*,**/node_modules/**,*DS_Store*,*.gem,log/**,tmp/**,*package-lock.json*,**/dist/**,**/.next/**,**/.nx/**",1,0%
wildignore,"*.o,*.out,*.obj,.git,*.rbc,*.rbo,*.class,.svn,*.gem,*.pyc,*.swp,*~,*/.DS_Store",1,0%
wildignore,"*.o,*~,*.pyc",1,0%
wildignore,"*.o,*~,*.pyc,*.retry",1,0%
wildignore,"*.o,*~,*.pyc,*/.git/*",1,0%
wildignore,"*.png,*.jpg,*.jpeg,*.gif,*.wav,*.aiff,*.dll,*.pdb,*.mdb,*.so,*.swp,*.zip,*.gz,*.bz2,*.meta,*.svg,*.cache,*/.git/*",1,0%
wildignore,"*.so,*.swp,*.zip,*/node_modules/*",1,1%
wildignore,"*.so,/min/*.git,.hg,.svn,.stversions,*.pyc,*.spl,*.o,*.out,*~,%**.jpg,*.jpeg,*.png,*.gif,*.log,**/tmp/****/node_modules/**,**/bower_modules/**,*/.sass-cache/*__pycache__,*.egg-info*.out,*.obj,*.gem,*.pyc,*DS_Store**.zip,*.tar.gz,*.tar.bz2,*.rar,*.tar.xz*.swp,*~,._*,*/vendor/cache/*",1,1%
wildignore,"*.swp,*.bak,*.pyc,*.class",1,1%
wildignore,"*.swp,*.bak,*.pyc,*.class,*.synctex.gz,*.bcf,*.xdv,*.aux,*.bbl,*.blg,*.fdb_latexmk,*.fls,*.out,*.toc,*.run.xml",1,1%
wildignore,"*.swp,*.swo,*.class,*.pyc,__pycache__,",1,1%
wildignore,**/.git/*,1,1%
wildignore,"**/node_modules/*,**/vendor/*,**/.git/*,**/coverage/*,**/code_coverage_html/*",1,1%
wildignore,**/node_modules/**,1,1%
wildignore,"*/.git/*,*/node_modules/*",1,1%
wildignore,"*/dist*/*,*/**.min.*/,*/node_modules/**/*",1,1%
wildignore,"*/node_modules/*,*/.git/*",1,1%
wildignore,"*\\tmp\\*,*.swp,*.zip,*.exe,node_modules/*,bower_components/*",1,1%
wildignore,*~,1,1%
wildignore,"*~,*.bak,*.un~,tags,*.data,*.jpg,*.gif,*.png,*.psd,*/__pycache__/*,*/venv*/*,*/node_modules/*,*/zig-cache/*,*/zig-out/*",1,1%
wildignore,"*~,%*,*.o,*.so,*.pyc,*.pdf,*.v.d,*.vo*,*.glob,*.cm*,*.aux,.git,.git/,**/.git/*,__pycache__,__pycache__/,**/__pycache__/*,target,target/,**/target/*",1,1%
wildignore,"*DS_STORE*,*.png,*.jpg,*.gif",1,1%
wildignore,"*node_modules/*,*bower_components/*,*venv/*,*__pycache__/*,*.pyc",1,1%
wildignore,"blue.vim,darkblue.vim,default.vim,delek.vim,desert.vim, elflord.vim,evening.vim,industry.vim,koehler.vim,morning.vim,murphy.vim, pablo.vim,peachpuff.vim,ron.vim,shine.vim,slate.vim,torte.vim,zellner.vim",1,1%
wildignorecase,*default*,204,90%
wildignorecase,true,23,10%
wildmenu,*default*,226,100%
wildmenu,false,1,0%
wildmode,*default*,165,73%
wildmode,"longest:full,full",20,9%
wildmode,"longest,full",8,4%
wildmode,list:longest,6,3%
wildmode,"list:longest,full",6,3%
wildmode,"longest,list,full",4,2%
wildmode,longest:full,4,2%
wildmode,"list:longest,list:full",3,1%
wildmode,"longest,list",3,1%
wildmode,full:lastused,1,0%
wildmode,"longest,full,full",1,0%
wildmode,"longest,full,longest,full",1,0%
wildmode,"longest,list,lastused",1,0%
wildmode,"longest:full,full,lastused:full",1,0%
wildmode,"longest:full,list,full",1,0%
wildmode,"longest:full,list:full",1,1%
wildmode,"longest:list,full",1,1%
wildoptions,*default*,217,96%
wildoptions,pum,9,4%
wildoptions,tagfile,1,0%
winaltkeys,*default*,226,100%
winaltkeys,no,1,0%
winbar,*default*,195,88%
winbar,%{%v:lua.require'feline'.generate_winbar()%},10,5%
winbar,%{%v:lua.require'heirline'.eval_winbar()%},2,1%
winbar,%{%v:lua.require'nvim-navic'.get_location()%},2,1%
winbar,"%!luaeval('require(\""mesopotamia.statusline_winbar\"").super_custom_winbar()')",1,0%
winbar,%!v:lua.Statusline.winbar(),1,0%
winbar,"%!v:lua.WindLine.show_winbar(6,1000)",1,0%
winbar,%{%v:lua.require'util'.winbar()%},1,0%
winbar,%{%v:lua.require('m3dry.winbar').winbar()%},1,0%
winbar,%{%v:lua.status.get_winbar()%},1,0%
winbar,%{%v:lua.winbar_func()%},1,0%
winbar,%{%v:lua.Winbar()%},1,0%
winbar,%{%v:lua.winbarline()%},1,0%
winbar,%#NavicText# ~%#NavicSeparator# > %#NavicText#projects%#NavicSeparator# > %#NavicText#%@v:lua.require'barbecue.mouse'.navigate_1000_1_0@%#DevIconLua# %#NavicText#form.lua%X%#NavicSeparator# > %@v:lua.require'barbecue.mouse'.navigate_1000_11_6@%#NavicIconsArray# %#NavicText#bad_options%X%#NavicText#%= ,1,0%
winbar,"%=%m %{fnamemodify(expand('%'), ':.')}:%L ",1,1%
winbar,%=%m %f,1,1%
winbar,%=%m %y %f:%l:%c,1,1%
winbar,%f%m,1,1%
winbar,%m %t,1,1%
winblend,*default*,214,94%
winblend,10,5,2%
winblend,20,3,1%
winblend,30,2,1%
winblend,15,1,0%
winblend,5,1,1%
winblend,8,1,1%
winfixheight,*default*,223,98%
winfixheight,true,4,2%
winfixwidth,*default*,223,98%
winfixwidth,true,3,1%
winfixwidth,true﻿,1,1%
winheight,*default*,226,100%
winheight,20,1,0%
winhighlight,*default*,218,96%
winhighlight,"CursorLine:CursorLine,CursorLineSign:CursorLineSign,CursorLineFold:CursorLineFold,Visual:Visual,CursorLineNr:CursorLineNr",1,0%
winhighlight,"CursorLine:CursorLine,Visual:Visual,CursorLineFold:CursorLineFold,CursorLineSign:CursorLineSign,CursorLineNr:CursorLineNr",1,0%
winhighlight,"CursorLineFold:CursorLineFold,CursorLineNr:CursorLineNr,Visual:Visual,CursorLine:CursorLine,CursorLineSign:CursorLineSign",1,0%
winhighlight,"CursorLineSign:CursorLineSign,CursorLineFold:CursorLineFold,Visual:Visual,CursorLineNr:CursorLineNr,CursorLine:CursorLine",1,0%
winhighlight,"EndOfBuffer:NvimTreeEndOfBuffer,Normal:NvimTreeNormal,CursorLine:NvimTreeCursorLine,CursorLineNr:NvimTreeCursorLineNr,WinSeparator:NvimTreeWinSeparator,StatusLine:NvimTreeStatusLine,StatusLineNC:NvimTreeStatuslineNC,SignColumn:NvimTreeSignColumn,NormalNC:NvimTreeNormalNC",1,0%
winhighlight,"Folded:NeogitFold,Folded:NeogitFold",1,1%
winhighlight,"Normal:ActiveWindow,NormalNC:InactiveWindow",1,1%
winhighlight,SpecialKey:SpecialKeyWin,1,1%
winhighlight,"Visual:Visual,CursorLine:CursorLine,CursorLineFold:CursorLineFold,CursorLineSign:CursorLineSign,CursorLineNr:CursorLineNr",1,1%
winminheight,*default*,221,97%
winminheight,0,5,2%
winminheight,5,1,1%
winminwidth,*default*,218,96%
winminwidth,10,4,2%
winminwidth,0,3,1%
winminwidth,15,1,0%
winminwidth,5,1,1%
winwidth,*default*,218,96%
winwidth,1,4,2%
winwidth,30,3,1%
winwidth,10,1,0%
winwidth,5,1,1%
wrap,*default*,122,54%
wrap,false,105,46%
wrapscan,*default*,224,99%
wrapscan,false,3,1%
writebackup,*default*,173,76%
writebackup,false,53,23%
writebackup,true,1,1%
