hue_floor,hex,L,L_r,c,h
265,#0f00ff,45.42,36.9,31.15,265.08
266,#1900ff,45.64,37.15,30.99,266.12
267,#2000ff,45.85,37.39,30.85,267.08
268,#2600ff,46.06,37.63,30.72,268.06
269,#2c00ff,46.31,37.91,30.57,269.19
270,#3000ff,46.5,38.12,30.47,270.01
271,#3500ff,46.75,38.41,30.34,271.12
272,#3900ff,46.97,38.66,30.23,272.07
273,#3d00ff,47.2,38.92,30.13,273.07
274,#4100ff,47.45,39.21,30.03,274.12
275,#4500ff,47.71,39.5,29.93,275.21
276,#4800ff,47.91,39.74,29.86,276.06
277,#4c00ff,48.2,40.06,29.77,277.22
278,#4f00ff,48.43,40.32,29.71,278.11
279,#5200ff,48.66,40.58,29.65,279.01
280,#5600ff,48.98,40.95,29.58,280.25
281,#5900ff,49.23,41.23,29.53,281.19
282,#5c00ff,49.48,41.52,29.48,282.14
283,#5f00ff,49.74,41.82,29.44,283.1
284,#6200ff,50.01,42.13,29.41,284.07
285,#6500ff,50.29,42.44,29.37,285.05
286,#6800ff,50.57,42.77,29.35,286.03
287,#6b00ff,50.86,43.1,29.33,287.02
288,#6e00ff,51.16,43.43,29.31,288.01
289,#7200ff,51.56,43.89,29.3,289.33
290,#7500ff,51.87,44.25,29.29,290.32
291,#7a00ff,52.39,44.85,29.29,291.97
292,#7d00ff,52.72,45.22,29.3,292.95
293,#8000ff,53.05,45.6,29.31,293.94
294,#8300ff,53.38,45.98,29.33,294.92
295,#8600ff,53.72,46.37,29.35,295.89
296,#8900ff,54.06,46.76,29.37,296.86
297,#8c00ff,54.41,47.16,29.4,297.82
298,#8f00ff,54.76,47.56,29.43,298.78
299,#9200ff,55.12,47.97,29.47,299.73
300,#9600ff,55.6,48.53,29.52,300.98
301,#9900ff,55.97,48.95,29.56,301.91
302,#9c00ff,56.34,49.38,29.61,302.83
303,#9f00ff,56.72,49.81,29.66,303.75
304,#a300ff,57.22,50.39,29.73,304.96
305,#a600ff,57.61,50.83,29.79,305.85
306,#a900ff,57.99,51.28,29.84,306.73
307,#ad00ff,58.52,51.88,29.93,307.9
308,#b000ff,58.91,52.33,29.99,308.76
309,#b400ff,59.44,52.94,30.08,309.9
310,#b700ff,59.84,53.41,30.15,310.74
311,#bb00ff,60.38,54.03,30.24,311.85
312,#bf00ff,60.93,54.66,30.34,312.94
313,#c200ff,61.34,55.13,30.42,313.75
314,#c600ff,61.9,55.77,30.52,314.82
315,#ca00ff,62.45,56.41,30.63,315.87
316,#ce00ff,63.02,57.06,30.73,316.9
317,#d200ff,63.58,57.72,30.85,317.91
318,#d600ff,64.15,58.37,30.96,318.92
319,#da00ff,64.72,59.04,31.08,319.9
320,#de00ff,65.3,59.7,31.19,320.88
321,#e200ff,65.88,60.37,31.31,321.83
